2019-10-16 22:56:42.9195	INFO	No Color Found	CIDER.ColorWriter.GetSetTheming	Activator.CreateInstance => Activator.CreateInstance => RuntimeType.CreateInstanceImpl => Activator.CreateInstance => RuntimeType.CreateInstanceDefaultCtor => RuntimeType.CreateInstanceSlow => RuntimeTypeHandle.CreateInstance => MainWindow..ctor => MainWindowViewModel..ctor => ColorWriter.GetSetTheming	"System.IndexOutOfRangeException: Der Index war außerhalb des Arraybereichs.
   bei CIDER.ColorWriter.GetSetTheming() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ColorWriter.cs:Zeile 24."	
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-10-16 22:57:00.0036	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
