2019-12-21 16:13:12.4448	INFO	No Color Found	CIDER.ColorWriter.GetSetTheming	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => ColorWriterUnitTests.ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError => Assert.Throws => Assert.Throws => <>c__DisplayClass1_0.<ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError>b__0 => ColorWriter.GetSetTheming	"CIDER.ColorWriterNoColorException: Eine Ausnahme vom Typ ""CIDER.ColorWriterNoColorException"" wurde ausgelöst.
   bei CIDER.ColorWriter.GetSetTheming() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ColorWriter.cs:Zeile 63."	
2019-12-21 16:13:12.5535	DEBUG	Starting CSV ingestion.	CIDER.LoadIO.FileIO.ReadCSV	TestMethodCommand.RunTestMethod => TestMethodCommand.RunAsyncTestMethod => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => FileIOUnitTests.ReadCSV_WhenCalled_CorrectAcceleration => AsyncTaskMethodBuilder.Start => <ReadCSV_WhenCalled_CorrectAcceleration>d__5.MoveNext => FileIO.ReadCSV		
2019-12-21 16:13:12.5535	DEBUG	CSV ingestion finished.	CIDER.LoadIO.FileIO+<ReadCSV>d__2.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadCSV>d__2.MoveNext		
2019-12-21 16:13:12.5535	DEBUG	Starting CSV ingestion.	CIDER.LoadIO.FileIO.ReadCSV	TestMethodCommand.RunTestMethod => TestMethodCommand.RunAsyncTestMethod => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => FileIOUnitTests.ReadCSV_WhenCalled_CorrectDate => AsyncTaskMethodBuilder.Start => <ReadCSV_WhenCalled_CorrectDate>d__0.MoveNext => FileIO.ReadCSV		
2019-12-21 16:13:12.5535	DEBUG	CSV ingestion finished.	CIDER.LoadIO.FileIO+<ReadCSV>d__2.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadCSV>d__2.MoveNext		
2019-12-21 16:13:12.5535	DEBUG	Starting CSV ingestion.	CIDER.LoadIO.FileIO.ReadCSV	TestMethodCommand.RunTestMethod => TestMethodCommand.RunAsyncTestMethod => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => FileIOUnitTests.ReadCSV_WhenCalled_CorrectHeight => AsyncTaskMethodBuilder.Start => <ReadCSV_WhenCalled_CorrectHeight>d__4.MoveNext => FileIO.ReadCSV		
2019-12-21 16:13:12.5535	DEBUG	CSV ingestion finished.	CIDER.LoadIO.FileIO+<ReadCSV>d__2.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadCSV>d__2.MoveNext		
2019-12-21 16:13:12.5535	DEBUG	Starting CSV ingestion.	CIDER.LoadIO.FileIO.ReadCSV	TestMethodCommand.RunTestMethod => TestMethodCommand.RunAsyncTestMethod => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => FileIOUnitTests.ReadCSV_WhenCalled_CorrectPressure => AsyncTaskMethodBuilder.Start => <ReadCSV_WhenCalled_CorrectPressure>d__3.MoveNext => FileIO.ReadCSV		
2019-12-21 16:13:12.5535	DEBUG	CSV ingestion finished.	CIDER.LoadIO.FileIO+<ReadCSV>d__2.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadCSV>d__2.MoveNext		
2019-12-21 16:13:12.5535	DEBUG	Starting CSV ingestion.	CIDER.LoadIO.FileIO.ReadCSV	TestMethodCommand.RunTestMethod => TestMethodCommand.RunAsyncTestMethod => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => FileIOUnitTests.ReadCSV_WhenCalled_CorrectRouteName => AsyncTaskMethodBuilder.Start => <ReadCSV_WhenCalled_CorrectRouteName>d__1.MoveNext => FileIO.ReadCSV		
2019-12-21 16:13:12.5535	DEBUG	CSV ingestion finished.	CIDER.LoadIO.FileIO+<ReadCSV>d__2.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadCSV>d__2.MoveNext		
